holderAddress,balance
0xE15c5bac1A48e6DC70E087Ac95e7bDE377c88839,10
0x33B1e952e1608BAC68719d8AaDf8181085441a9F,8
0xB3160404ca9581784b3dec9e85bcd354397B8C72,6
0x9AFde32e2B7065514Cb899A0de8E79D6C83874C0,1
0xd0EE781ad06Bb1Ff7A7509C28D724FD790a85B1b,3
0x46a03916158Cc281d4b08E99597E39d98d1b14a0,0
0xF9387e10Fa31b979D908115570439AdBC88DfFf4,9
0xb0487bdc8BE66895Eb1508062c73d14Bb18A88Ca,1
0x039774754cb19A00BEB97049AC12E4dF9DCD85e4,8
0x15D61B5e4c87C86860b724a52d9b58150e5687c0,0
0x5D13ee2cB6580C9fc18561F541f7596edE9f2c98,2
0xee531b1C94755Db9D8D169036F682C4a8AD90A4E,3096173877
0x6495Fcf31006782Ca9aEd3278374a65Dc0494013,0
0x624A7a7A03Db1750802e97a4cc04a87Da01dC5Bd,0
0x438e7A33b66aAc5FaC3Aaa0f73b5F5e9582943E0,0
0xA198E245BF6929C1a1899E36BF957417143D4f7f,0
0xe988805e99F6afB4ee601ae0c67d758721Aaf409,0
0x6b9334B8E3ae284E4bc9475198431a4E2a2a9Fd8,0
0x66A254F4265BA279B282E7E44A7256e370d8b950,5
0xA5E478E82b6253468fa2258B38421589fb7E822B,0
0x2D6AB3deD8A86Bbe1D3D8A497CdeeF6296869339,0
0xc2a4f477630CeB6ee5a2bc2c0f2e7DFf5C307Ae7,0
0xCDe0321b67CBe60105B0378952Dc2c7cA6FF232D,6
0xDFBF0d31B72A86A3cfcFe8C1F11a2e7A5BE1Bf08,4
0xBad52370b73D006199f99cC1612AeA0E63812640,0
0x39a1821FA5439eEA32a18CFe45dAC3a791e98f7e,0
0xB40ea3dCD4A71580A1B137f1D524D4D082b6c90c,0
0xb1B5b1dA20C2a43DFCF1B4a36dbd536DAF3EfBcd,2
0xD8bAeF0453632eD287AAd07Aa11965E8dD96d782,0
0x3f2D1Ae6E5a6F6C112aB7bB9b8422cFB4ceb053D,2
0xC97C43c879a508e3a4B951dCaEcd58a807C98eEd,0
0x353ce464720473E74512b8d606d6608ce59dECD6,1
0xcDc05F7fe4753CE3F44fDb0389C07C64E7C96e0B,2
0x068dE4124693F7392B702b3483Ac1E392E7D444b,181272121432
0xb8b86a8Fce33322bed8142Dcd3426F5f35289c68,1
0x2f18784cDbCC1D1c72646325CE8048Fda07EEE52,0
0x8c7f4B40111491f4633b5F971b443dCdF1B92664,0
0x21E7f980C2BFb1eF908f68E92F791147856Ef26C,0
0x04bfcAb393e9149185B3A81D6066929ECd643e2f,0
0x0F275D9fC268E25a60Ff65a17a6a1282Aad567D4,0
0xe5683F9526217b962142662fF4d1f975bE82ED19,0
0xc9f88D8012Be24DcF091777756490BA469562aD9,0
0x95E0cA68f377dDB22CF9Ae4AA61610FA404a42b1,0
0x09f30971D50f7e1e86fd9DfD7012ead8aC572cA5,0
0xD6ee257dC510fF6682fa54689D87ace46c8C79Cf,2
0x018B90197B9dF85Fa9130191678F937a535374B9,0
0x2a94086c36F9b26f21D9b7aB4419F6dC31C677c1,1
0x940Fd4A6c69e448D41AD9E68C258f238c61968cb,64647918579
0xC33CD67b3f5B0eA43659db8e69eA564e63ae2998,0
0xc74C528248619b50A4E899D9ee5961e7297200AB,1
0x47E84636928922CE8904c3d89Bb92E0e3Cd1bC63,0
0x04b213719d0ff5A5e8AcBc3Ed855239a20472D4C,0
0x2e97778b97DB81b62eb64103813E019F353537cD,0
0x744393B5DC030550cb86b252e8c51b9a2C2a4Ad5,0
0x2d66E0e7b870745587190cd457d17c6b06fC7a4B,0
0xfeE114bdFF91770d637c9d4dE82Bf7CC5A2C16e2,0
0x34f50C819634e01495b4f5b0df89B89273975F37,0
0x79f70E9d1bCC8681C7f7C1fF6C198a798b5c7DAC,0
0x43E04B0e6b09148e1ec24D9B277dfd77FD77477F,0
0x55Ac30554f66E9c7073341A985e67F9a9c112a44,4
0xAAaA9b4Fd6AFDbf3AEf24e5CF2A51C65c582D5b3,1
0xD34216F24DaC965F9CC9a9762194d1CBcD58e5a1,0
0x749d2C4FdFA0b60595dbacD52e9092B30e9EAA32,0
0x065C84641EE62d032ea5F20C49d59817C87A2747,7
0x40a980B9d12F0A2D4f9eB6B4Ae50b8Baa2974534,0
0xE2AA2846481BAA23e4030099233b4041C8D1A0E4,0
0x3E4FAD84C660B1E2fA1Ea3A17aA4ebF86c774eE1,0
0x85249c1064AdBf8473b5B0634f1DB7C56323C378,0
0x33D3C029FD119ebb90df20c3427a97074637Bf7c,5
0xD52A7aA0D5D8C761925996D57A27a86713926b46,0
0x413C71D6b53F3168D7465FAf8D4C2bac1ba7fD05,0
0x07C78AbC0fC9bC8D4D5E1f6B6463ca8131258f45,6
0x672737011FC4770118109684dD54735C2c004ba9,0
0x5381B1c11CF1792C07DF81Df80427D8c0223572F,2
0x2663dE7b0fed0f7796E5641a75ed6CaA1631443E,0
0xa97E0869227580c5A1834303D8852e9cb5223686,0
0x79D0908A0087faE946ba062f73a974D69013410E,4
0x097Ae25655d7A0cb90806304Fd7908B1F5d3A9bc,418109621782
0xd65E14523e2C54388c80735D3c9c8636209a184c,0
0x09c7c89ccf5E8200d1A5d3E216d3DbC336B0eeF5,0
0xb0B215d519d9c48ebF0211C38Ee3517e5136606D,296842016712
0x0Dc2f62f3E8277fdF974B04a8f3076fA5Bae1892,0
0x2Ec8C099CE47358695097d8ae9bD8554619d4D6f,0
0x9AAe16DA7f3430AbcBA9e97C54D255f1DB800f1C,0
0xd9aDC9ccA22b991fB54E8b9e06A614476Fe1C91b,4
0xa48046218E50c512A708A235C48b8591213977a3,3
0xF1BEF2403f0C320C9E7d0Bce8309AF143CB39C93,2
